               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062741,            0.032445,           0.0043042,             0.67832,                0.62,              0.6101,             0.26621,            0.041717,             0.01562,           0.0009352,             0.07002,           0.0033311,           0.0033311
                   1,            0.048958,            0.027934,          0.00099089,             0.78758,             0.68098,             0.72953,             0.34035,            0.037712,            0.014931,          0.00076995,            0.039954,           0.0065985,           0.0065985
                   2,            0.045072,            0.027304,          0.00070894,             0.79299,             0.69145,             0.72535,              0.3344,            0.037796,            0.015172,          0.00046297,           0.0098222,           0.0097998,           0.0097998
                   3,            0.041902,            0.026764,          0.00047679,             0.80968,             0.67286,             0.74182,             0.34945,            0.036379,            0.014885,          0.00027868,            0.009703,            0.009703,            0.009703
                   4,            0.040082,            0.026198,          0.00034921,              0.8131,             0.70991,             0.74678,             0.34213,            0.036031,            0.014618,          0.00024037,            0.009703,            0.009703,            0.009703
                   5,            0.039028,            0.025834,          0.00029034,              0.8312,             0.69629,             0.74678,             0.34658,            0.036182,            0.014701,          0.00019548,            0.009604,            0.009604,            0.009604
                   6,            0.038424,            0.025419,           0.0002556,              0.8184,             0.71825,             0.76018,             0.35947,            0.035595,             0.01487,          0.00015753,            0.009505,            0.009505,            0.009505
                   7,            0.037727,            0.025213,          0.00022887,             0.80887,             0.68251,             0.70907,             0.32736,            0.036013,            0.014721,          0.00015936,            0.009406,            0.009406,            0.009406
                   8,             0.03741,            0.024886,          0.00022078,             0.82382,             0.71417,             0.76143,             0.35801,             0.03505,            0.014706,          0.00015277,            0.009307,            0.009307,            0.009307
                   9,            0.037035,            0.024969,          0.00020069,             0.82607,             0.71088,             0.76007,             0.37059,            0.035212,             0.01464,          0.00014312,            0.009208,            0.009208,            0.009208
                  10,            0.036803,            0.024904,          0.00019257,             0.79319,             0.72606,             0.75852,             0.35332,            0.034892,            0.014559,          0.00012008,            0.009109,            0.009109,            0.009109
                  11,            0.036325,            0.024734,          0.00018081,             0.79819,             0.70204,             0.72829,             0.34979,            0.035115,            0.014639,          0.00011665,             0.00901,             0.00901,             0.00901
                  12,            0.036114,            0.024478,           0.0001774,             0.80968,             0.70641,             0.74387,             0.34758,            0.035069,            0.014658,          0.00011707,            0.008911,            0.008911,            0.008911
                  13,            0.035956,            0.024397,          0.00016624,             0.80967,             0.70293,              0.7365,              0.3482,            0.035032,            0.014697,          0.00013061,            0.008812,            0.008812,            0.008812
                  14,            0.035686,            0.024141,          0.00016965,             0.80521,             0.70871,             0.73918,             0.35349,            0.034754,            0.014622,          0.00010719,            0.008713,            0.008713,            0.008713
                  15,            0.035478,            0.024012,          0.00015994,             0.78004,             0.72034,             0.73404,             0.35478,            0.034735,            0.014792,          9.8409e-05,            0.008614,            0.008614,            0.008614
                  16,             0.03528,            0.023789,          0.00015696,             0.80052,              0.7204,             0.74573,              0.3538,             0.03466,            0.014677,          9.3666e-05,            0.008515,            0.008515,            0.008515
                  17,            0.035253,            0.024026,          0.00015079,             0.80222,             0.70984,             0.74281,             0.35263,            0.034733,            0.014763,          9.8846e-05,            0.008416,            0.008416,            0.008416
                  18,            0.034949,            0.023794,          0.00014616,              0.7943,              0.6946,             0.72893,             0.35799,            0.034707,            0.014723,          8.9034e-05,            0.008317,            0.008317,            0.008317
                  19,            0.034785,            0.023795,          0.00014242,             0.77632,             0.71789,             0.72602,             0.35434,            0.034709,            0.014664,          8.8798e-05,            0.008218,            0.008218,            0.008218
                  20,            0.034713,            0.023691,          0.00013494,             0.80139,             0.70712,             0.74087,              0.3561,            0.034467,            0.014655,          9.4918e-05,            0.008119,            0.008119,            0.008119
                  21,            0.034578,            0.023539,          0.00013673,              0.8089,             0.68774,             0.73654,             0.35026,            0.034621,            0.014856,          9.9326e-05,             0.00802,             0.00802,             0.00802
                  22,            0.034438,            0.023568,          0.00013154,             0.79393,             0.69907,             0.72745,             0.35221,            0.034547,            0.014813,          0.00010135,            0.007921,            0.007921,            0.007921
                  23,            0.034242,            0.023547,          0.00012855,             0.78718,             0.71471,             0.73728,             0.35561,            0.034397,            0.014804,          0.00010205,            0.007822,            0.007822,            0.007822
                  24,             0.03413,            0.023539,          0.00012925,             0.79788,             0.69243,             0.72216,             0.34863,            0.034587,            0.014836,          9.3388e-05,            0.007723,            0.007723,            0.007723
                  25,            0.034137,            0.023258,          0.00012829,             0.78343,             0.70813,             0.72243,             0.34957,            0.034598,            0.014872,          9.3974e-05,            0.007624,            0.007624,            0.007624
                  26,            0.033986,            0.023401,           0.0001311,             0.78454,             0.70808,             0.72566,             0.35183,            0.034575,            0.014876,            0.000104,            0.007525,            0.007525,            0.007525
                  27,            0.033911,            0.023357,          0.00012798,             0.80553,             0.72109,             0.73868,             0.35277,            0.034624,            0.014855,          9.5765e-05,            0.007426,            0.007426,            0.007426
                  28,            0.033666,            0.023079,            0.000124,             0.79665,             0.72377,             0.74674,             0.35304,            0.034807,            0.014881,          9.5256e-05,            0.007327,            0.007327,            0.007327
                  29,            0.033705,            0.023093,          0.00011973,             0.79286,             0.70829,             0.73685,             0.35376,            0.034711,            0.014943,          9.4047e-05,            0.007228,            0.007228,            0.007228
                  30,            0.033612,            0.022921,          0.00012129,             0.79477,             0.70186,             0.73021,             0.35431,            0.034492,            0.014915,          9.7132e-05,            0.007129,            0.007129,            0.007129
                  31,            0.033286,             0.02306,          0.00011135,             0.78937,             0.70738,             0.73112,             0.35444,            0.034511,            0.014927,           9.745e-05,             0.00703,             0.00703,             0.00703
